# time,counter,data
2026-09-14 13:45:56.745017,384,4308.0,1342809.0
2026-09-14 13:45:56.756115,385,4319.0,1344037.0
2026-09-14 13:45:56.768003,386,4331.0,1343552.0
2026-09-14 13:45:56.779038,387,4342.0,1341317.0
2026-09-14 13:45:56.790135,388,4354.0,1341266.0
2026-09-14 13:45:56.802027,389,4365.0,1341834.0
2026-09-14 13:45:56.813086,390,4377.0,1342857.0
2026-09-14 13:45:56.825029,391,4388.0,1342955.0
2026-09-14 13:45:56.836037,392,4399.0,1343722.0
2026-09-14 13:45:56.848023,393,4411.0,1343253.0
2026-09-14 13:45:56.859001,394,4422.0,1342737.0
2026-09-14 13:45:56.870086,395,4434.0,1341072.0
2026-09-14 13:45:56.882090,396,4445.0,1343042.0
2026-09-14 13:45:56.893061,397,4456.0,1342350.0
2026-09-14 13:45:56.905053,398,4468.0,1344253.0
2026-09-14 13:45:56.916073,399,4479.0,1344724.0
2026-09-14 13:45:56.928037,400,4491.0,1341866.0
2026-09-14 13:45:56.939025,401,4502.0,1341669.0
2026-09-14 13:45:56.950076,402,4514.0,1342486.0
2026-09-14 13:45:56.962035,403,4525.0,1343333.0
2026-09-14 13:45:56.973014,404,4536.0,1343046.0
2026-09-14 13:45:56.985029,405,4548.0,1344253.0
2026-09-14 13:45:56.996034,406,4559.0,1344286.0
2026-09-14 13:45:57.007065,407,4571.0,1343617.0
2026-09-14 13:45:57.018980,408,4582.0,1341445.0
2026-09-14 13:45:57.030078,409,4594.0,1339502.0
2026-09-14 13:45:57.041978,410,4605.0,1339737.0
2026-09-14 13:45:57.053039,411,4616.0,1342707.0
2026-09-14 13:45:57.064979,412,4628.0,1346683.0
2026-09-14 13:45:57.076010,413,4639.0,1345543.0
2026-09-14 13:45:57.087088,414,4651.0,1341582.0
2026-09-14 13:45:57.099009,415,4662.0,1340512.0
2026-09-14 13:45:57.110078,416,4673.0,1340300.0
2026-09-14 13:45:57.122047,417,4685.0,1341384.0
2026-09-14 13:45:57.133052,418,4696.0,1341185.0
2026-09-14 13:45:57.144077,419,4708.0,1341193.0
2026-09-14 13:45:57.156016,420,4719.0,1341468.0
2026-09-14 13:45:57.167037,421,4731.0,1341695.0
2026-09-14 13:45:57.179090,422,4742.0,1343643.0
2026-09-14 13:45:57.190160,423,4753.0,1342388.0
2026-09-14 13:45:57.202115,424,4765.0,1342764.0
2026-09-14 13:45:57.213073,425,4776.0,1342709.0
2026-09-14 13:45:57.224102,426,4788.0,1341473.0
2026-09-14 13:45:57.236063,427,4799.0,1339986.0
2026-09-14 13:45:57.247080,428,4811.0,1338748.0
2026-09-14 13:45:57.259050,429,4822.0,1340236.0
2026-09-14 13:45:57.270045,430,4833.0,1339288.0
2026-09-14 13:45:57.282028,431,4845.0,1342413.0
2026-09-14 13:45:57.293032,432,4856.0,1343328.0
2026-09-14 13:45:57.304068,433,4868.0,1343478.0
2026-09-14 13:45:57.316038,434,4879.0,1343280.0
2026-09-14 13:45:57.327082,435,4890.0,1342324.0
2026-09-14 13:45:57.339013,436,4902.0,1343124.0
2026-09-14 13:45:57.350030,437,4913.0,1342149.0
2026-09-14 13:45:57.361096,438,4925.0,1342091.0
2026-09-14 13:45:57.373056,439,4936.0,1343134.0
2026-09-14 13:45:57.384083,440,4948.0,1341633.0
2026-09-14 13:45:57.396005,441,4959.0,1340516.0
2026-09-14 13:45:57.407054,442,4970.0,1341258.0
2026-09-14 13:45:57.419019,443,4982.0,1342384.0
2026-09-14 13:45:57.430000,444,4993.0,1345018.0
2026-09-14 13:45:57.441093,445,5005.0,1344550.0
