"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.022606792E0	-1.907483368E0	2.219883728E-1	9.611363068E0	9.801330096E0
2.032569792E0	-1.838327179E0	1.866618347E-1	9.556726685E0	9.733720480E0
2.042533792E0	-1.910327454E0	2.320175171E-1	9.638606415E0	9.828830893E0
2.052497792E0	-1.820065155E0	2.106120300E-1	9.523346100E0	9.697995439E0
2.062460792E0	-1.962269440E0	2.210902405E-1	9.624385986E0	9.824875972E0
2.072424792E0	-1.849404144E0	2.619552612E-1	9.517957306E0	9.699506561E0
2.082387792E0	-1.888173523E0	2.071691895E-1	9.580676880E0	9.767163754E0
2.092351792E0	-1.879940643E0	2.603086853E-1	9.514664154E0	9.702101391E0
2.102315792E0	-1.865271149E0	1.971400452E-1	9.681866455E0	9.861878052E0
2.112278792E0	-1.927841034E0	2.423460388E-1	9.555379486E0	9.750927124E0
2.122242792E0	-1.839375000E0	1.815724182E-1	9.652377777E0	9.827749777E0
2.132205792E0	-1.969304810E0	2.389031982E-1	9.570947113E0	9.774367745E0
2.142169792E0	-1.778302002E0	2.019300842E-1	9.594448242E0	9.759947277E0
2.152133792E0	-2.018402710E0	2.570155334E-1	9.528136139E0	9.742965912E0
2.162096792E0	-1.755399628E0	2.332150269E-1	9.565258942E0	9.727795008E0
2.172060792E0	-2.029779053E0	2.395019531E-1	9.588011627E0	9.803434661E0
2.182023792E0	-1.712289276E0	2.432441711E-1	9.574539642E0	9.729486711E0
2.191987792E0	-2.056872711E0	1.878593445E-1	9.574839020E0	9.795078292E0
2.201950792E0	-1.704655151E0	2.429447937E-1	9.496701508E0	9.651539301E0
2.211914792E0	-2.048041077E0	1.889071655E-1	9.642797699E0	9.859701092E0
2.221878792E0	-1.719025269E0	2.513273621E-1	9.491312714E0	9.649001521E0
2.231841792E0	-1.996697845E0	1.956431580E-1	9.702074432E0	9.907337020E0
2.241805792E0	-1.843865662E0	2.850073242E-1	9.528585205E0	9.709531696E0
2.251768792E0	-1.939367065E0	2.287243652E-1	9.629475403E0	9.825490114E0
2.261732792E0	-1.869462433E0	2.291734314E-1	9.481133881E0	9.666401084E0
2.271696792E0	-1.881138153E0	1.954934692E-1	9.592951355E0	9.777607793E0
2.281659792E0	-1.960024109E0	2.537223816E-1	9.596394196E0	9.797798279E0
2.291623792E0	-1.784888306E0	1.847158813E-1	9.549691315E0	9.716817917E0
2.301586792E0	-1.994901581E0	2.433938599E-1	9.637857971E0	9.845160190E0
2.311550792E0	-1.664388885E0	2.275268555E-1	9.579778748E0	9.725950837E0
2.321514792E0	-2.073188782E0	2.474354553E-1	9.582772522E0	9.807592224E0
2.331477792E0	-1.726360016E0	2.398013306E-1	9.488468628E0	9.647220350E0
2.341441792E0	-2.089953918E0	2.182461548E-1	9.604477386E0	9.831659302E0
2.351404792E0	-1.742825775E0	2.333647156E-1	9.545649719E0	9.706252075E0
2.361368792E0	-2.009720764E0	1.942959595E-1	9.660161591E0	9.868913336E0
2.371331792E0	-1.768123169E0	2.171983337E-1	9.490115204E0	9.655864603E0
2.381295792E0	-1.986069946E0	2.285746765E-1	9.701475677E0	9.905319305E0
2.391259792E0	-1.801354065E0	2.127076721E-1	9.501790924E0	9.673373341E0
2.401222792E0	-1.937720490E0	2.239343262E-1	9.629774780E0	9.825348319E0
2.411190375E0	-1.901944885E0	2.826123047E-1	9.551786957E0	9.743402800E0
2.421153375E0	-1.820813599E0	2.019300842E-1	9.579629059E0	9.753226688E0
2.431117375E0	-1.944606171E0	2.293231201E-1	9.456135864E0	9.656737945E0
2.441081375E0	-1.793719940E0	2.038760376E-1	9.588460693E0	9.756924471E0
2.451044375E0	-2.046244812E0	2.282752991E-1	9.616003418E0	9.833958978E0
2.461008375E0	-1.736838226E0	2.266287231E-1	9.585317230E0	9.744037870E0
2.470971375E0	-2.003882904E0	1.907034302E-1	9.619745636E0	9.828093436E0
2.480935375E0	-1.763482819E0	2.516267395E-1	9.561666412E0	9.726183848E0
2.490899375E0	-1.991758118E0	2.161505127E-1	9.648635559E0	9.854440095E0
2.500862375E0	-1.761686554E0	2.404000854E-1	9.411828003E0	9.578300375E0
2.510826375E0	-1.993704071E0	2.188449097E-1	9.702373810E0	9.907512632E0
2.520789375E0	-1.796863403E0	2.341131592E-1	9.464518433E0	9.636422377E0
2.530753375E0	-1.956132202E0	2.017803955E-1	9.673932953E0	9.871785416E0
2.540717375E0	-1.920805664E0	2.182461548E-1	9.531578979E0	9.725642582E0
2.550680375E0	-1.798060913E0	2.504292297E-1	9.638007660E0	9.807493538E0
2.560644375E0	-1.934277649E0	2.409988403E-1	9.584119720E0	9.780330326E0
2.570607375E0	-1.770967255E0	2.173480225E-1	9.617500305E0	9.781609137E0
2.580571375E0	-1.995200958E0	2.450404358E-1	9.586215363E0	9.794712689E0
2.590534375E0	-1.751507721E0	1.986369324E-1	9.547296295E0	9.708661209E0
2.600498375E0	-2.036814423E0	2.254312134E-1	9.550290070E0	9.767674884E0
2.610462375E0	-1.713337097E0	1.848655701E-1	9.524244232E0	9.678890819E0
2.620425375E0	-2.102228394E0	2.354603577E-1	9.629774780E0	9.859379702E0
2.630389375E0	-1.715133362E0	2.371069336E-1	9.559271393E0	9.714811975E0
2.640352375E0	-1.975442047E0	1.980381775E-1	9.653126221E0	9.855173070E0
2.650316375E0	-1.719923401E0	2.568658447E-1	9.525741119E0	9.683174089E0
2.660280375E0	-1.933529205E0	2.348616028E-1	9.762997742E0	9.955391507E0
2.670243375E0	-1.848206635E0	2.139051819E-1	9.435628510E0	9.617312959E0
2.680207375E0	-1.921853485E0	2.353106689E-1	9.652078400E0	9.844364345E0
2.690170375E0	-1.940714264E0	2.107617188E-1	9.545949097E0	9.743507403E0
2.700134375E0	-1.798360291E0	2.073188782E-1	9.621242523E0	9.790065809E0
2.710098375E0	-2.010020142E0	2.173480225E-1	9.540260925E0	9.752127955E0
2.720061375E0	-1.752106476E0	2.083666992E-1	9.653425598E0	9.813354144E0
2.730025375E0	-2.026635590E0	2.383044434E-1	9.616751862E0	9.830867570E0
2.739988375E0	-1.645827484E0	2.227368164E-1	9.643396454E0	9.785369434E0
2.749952375E0	-2.104473724E0	2.100132751E-1	9.662855988E0	9.891597498E0
2.759916375E0	-1.675316162E0	2.366578674E-1	9.519454193E0	9.668645165E0
2.769879375E0	-2.097737732E0	2.077679443E-1	9.654922485E0	9.882368102E0
2.779843375E0	-1.711540833E0	1.993853760E-1	9.443412323E0	9.599331375E0
2.789806375E0	-1.966909790E0	2.378553772E-1	9.736502838E0	9.936035267E0
2.799770375E0	-1.776505737E0	2.200424194E-1	9.547445984E0	9.713810587E0
2.809734375E0	-1.958377533E0	2.261796570E-1	9.675579529E0	9.874372842E0
2.819697375E0	-1.813628540E0	2.246827698E-1	9.589358826E0	9.761943122E0
2.829661375E0	-1.872156830E0	2.026785278E-1	9.682764587E0	9.864176592E0
2.839624375E0	-1.951791229E0	2.127076721E-1	9.524842987E0	9.725089587E0
2.849588375E0	-1.794767761E0	2.185455322E-1	9.616452484E0	9.784943119E0
2.859552375E0	-2.006277924E0	2.053729248E-1	9.599088593E0	9.808661017E0
2.869515375E0	-1.692829742E0	2.098635864E-1	9.609417114E0	9.759642029E0
2.879479375E0	-2.005828857E0	2.255809021E-1	9.596394196E0	9.806376380E0
2.889442375E0	-1.708547058E0	2.456391907E-1	9.574988708E0	9.729330934E0
2.899406375E0	-2.039209442E0	2.300715637E-1	9.674681396E0	9.889932669E0
2.909370375E0	-1.693727875E0	2.080673218E-1	9.528285828E0	9.679888271E0
2.919333375E0	-2.081721039E0	2.180964661E-1	9.745184784E0	9.967434726E0
2.929297375E0	-1.708097992E0	2.157014465E-1	9.528435516E0	9.682727366E0
2.939260375E0	-1.988315277E0	2.149530029E-1	9.703122253E0	9.907077465E0
2.949224375E0	-1.792672119E0	2.116598511E-1	9.506431274E0	9.676296233E0
2.959187375E0	-1.931134186E0	2.164498901E-1	9.731712799E0	9.923828082E0
2.969151375E0	-1.904938660E0	2.453398132E-1	9.601034546E0	9.791263824E0
2.979115375E0	-1.825154572E0	2.074685669E-1	9.677076416E0	9.849875145E0
2.989078375E0	-1.901346130E0	2.356100464E-1	9.584269409E0	9.773886090E0
2.999042375E0	-1.768422546E0	1.987866211E-1	9.610914001E0	9.774277588E0
3.009005375E0	-2.007176056E0	2.007325745E-1	9.609566803E0	9.819003179E0
3.018969375E0	-1.726809082E0	2.043251038E-1	9.494007111E0	9.651931898E0
3.028933375E0	-1.980681152E0	1.971400452E-1	9.699829102E0	9.901951657E0
3.038896375E0	-1.727707214E0	2.216889954E-1	9.532327423E0	9.690169469E0
3.048860375E0	-1.972448273E0	2.330653381E-1	9.710307312E0	9.911354082E0
3.058823375E0	-1.762434998E0	1.987866211E-1	9.511820068E0	9.675764272E0
3.068787375E0	-1.998344421E0	2.516267395E-1	9.770332489E0	9.975775328E0
3.078751375E0	-1.739832001E0	1.989363098E-1	9.506431274E0	9.666376085E0
3.088714375E0	-2.008223877E0	2.299218750E-1	9.701475677E0	9.909816221E0
3.098678375E0	-1.869312744E0	2.255809021E-1	9.623188477E0	9.805660270E0
3.108641375E0	-1.853445740E0	1.980381775E-1	9.626331940E0	9.805138798E0
3.118605375E0	-1.904339905E0	2.357597351E-1	9.573192444E0	9.763611355E0
3.128569375E0	-1.815873871E0	1.790277100E-1	9.673783264E0	9.844365469E0
3.138532375E0	-1.949845276E0	2.427951050E-1	9.652976532E0	9.850928991E0
3.148496375E0	-1.756746826E0	1.881587219E-1	9.635313263E0	9.795959616E0
3.158459375E0	-1.962119751E0	2.149530029E-1	9.652377777E0	9.852132534E0
3.168423375E0	-1.677561493E0	2.065704346E-1	9.567803650E0	9.715953406E0
3.178387375E0	-2.065854034E0	2.218386841E-1	9.693691864E0	9.913860361E0
3.188350375E0	-1.772613831E0	2.201921082E-1	9.479187927E0	9.646017215E0
3.198314375E0	-2.004930725E0	2.252815247E-1	9.711654510E0	9.919008635E0
3.208277375E0	-1.810335388E0	2.315684509E-1	9.561516724E0	9.734143014E0
3.218241375E0	-1.903591461E0	1.947450256E-1	9.727820892E0	9.914236501E0
3.228205375E0	-1.841770020E0	2.028282166E-1	9.507030029E0	9.685911215E0
