"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.500359167E0,2.535516620E-1,-1.498904973E-1,-1.261497438E-1,3.204206054E-1
2.510321167E0,2.399423718E-1,-1.496345699E-1,-9.867017716E-2,2.994973292E-1
2.520283167E0,2.081956267E-1,-1.595172882E-1,-6.706458330E-2,2.707191212E-1
2.530244167E0,1.708122790E-1,-1.696511656E-1,-5.135193467E-2,2.461612761E-1
2.540206167E0,1.230956241E-1,-1.773551553E-1,-4.085801542E-2,2.197197334E-1
2.550167167E0,7.642855495E-2,-1.796717644E-1,-3.928674757E-2,1.991650458E-1
2.560129167E0,3.359640017E-2,-1.710894704E-1,-4.765945673E-2,1.807532816E-1
2.570091167E0,2.831520978E-3,-1.448892653E-1,-6.510183960E-2,1.588683928E-1
2.580052167E0,-1.183530595E-2,-1.089645624E-1,-8.621165156E-2,1.394481954E-1
2.590014167E0,-1.829968393E-2,-6.942819059E-2,-1.068522036E-1,1.287343990E-1
2.599975167E0,-1.661656611E-2,-3.700313717E-2,-1.245001778E-1,1.309413483E-1
2.609937167E0,-2.693788148E-3,-1.799599081E-2,-1.395076364E-1,1.406893486E-1
2.619899167E0,1.575845666E-2,-3.092408646E-3,-1.542509049E-1,1.550846015E-1
2.629860167E0,3.520720080E-2,-5.286925472E-3,-1.603907943E-1,1.642945692E-1
2.639822167E0,5.535854027E-2,-2.960388083E-3,-1.581252515E-1,1.675617112E-1
2.649783167E0,7.147008926E-2,-3.487839596E-3,-1.542058736E-1,1.699987945E-1
2.659745167E0,8.334485441E-2,3.863550257E-3,-1.457298249E-1,1.679240115E-1
2.669707167E0,9.048399329E-2,2.251872793E-2,-1.374143809E-1,1.660637174E-1
2.679668167E0,9.320334345E-2,4.781262949E-2,-1.335272342E-1,1.697127958E-1
2.689630167E0,8.867011219E-2,6.674397737E-2,-1.297727078E-1,1.707574391E-1
2.699591167E0,7.601162046E-2,7.586874068E-2,-1.250626445E-1,1.648468905E-1
2.709553167E0,6.160520762E-2,7.270839065E-2,-1.138778999E-1,1.484920462E-1
2.719515167E0,4.346455261E-2,6.079314277E-2,-1.112834439E-1,1.340484182E-1
2.729476167E0,2.281638235E-2,4.302477837E-2,-9.949548542E-2,1.107748639E-1
2.739438167E0,6.233145017E-3,2.196689695E-2,-9.318380058E-2,9.594069704E-2
2.749399167E0,-9.232943878E-3,-4.229529761E-3,-7.984483242E-2,8.048809501E-2
2.759361167E0,-2.235753462E-2,-2.350602299E-2,-6.728136539E-2,7.469387258E-2
2.769323167E0,-3.099777736E-2,-4.178693146E-2,-5.862822384E-2,7.838544809E-2
2.779284167E0,-3.184679151E-2,-4.567088187E-2,-4.921688139E-2,7.431250900E-2
2.789246167E0,-3.273820132E-2,-3.899128735E-2,-3.762679920E-2,6.330786944E-2
2.799207167E0,-3.060500883E-2,-2.622356080E-2,-1.975139603E-2,4.488272887E-2
2.809169167E0,-2.940688469E-2,-1.353735104E-2,3.029283136E-3,3.251463204E-2
2.819131167E0,-2.264778130E-2,-8.994796313E-3,2.911042050E-2,3.796373190E-2
2.829092167E0,-1.563803293E-2,-6.351100281E-3,5.149428174E-2,5.418990312E-2
2.839054167E0,-4.685517401E-3,-1.057833619E-2,7.234150171E-2,7.326082268E-2
2.849015167E0,4.525242373E-3,-1.942743920E-2,9.689477086E-2,9.892673972E-2
2.858977167E0,1.541890390E-2,-2.286025509E-2,1.269818246E-1,1.299412084E-1
2.868939167E0,2.272280306E-2,-2.022830024E-2,1.480652988E-1,1.511583362E-1
2.878900167E0,2.842463180E-2,-1.361540519E-2,1.661100835E-1,1.690736490E-1
2.888862542E0,3.126719594E-2,-7.136539556E-3,1.784133613E-1,1.812729854E-1
2.898823542E0,3.369972855E-2,6.564092822E-3,1.883759797E-1,1.914791600E-1
2.908785542E0,3.366839886E-2,2.202616446E-2,1.886148602E-1,1.928581823E-1
2.918747542E0,3.062653542E-2,4.479219392E-2,1.807390898E-1,1.887086217E-1
2.928708542E0,2.698740549E-2,7.391189784E-2,1.678738892E-1,1.853993834E-1
2.938670542E0,1.967143454E-2,9.033294767E-2,1.478839368E-1,1.744037429E-1
2.948631542E0,1.118154451E-2,9.283259511E-2,1.212730929E-1,1.531341919E-1
2.958593542E0,3.396592103E-3,9.573516995E-2,9.556747228E-2,1.353140841E-1
2.968555542E0,-9.738342836E-3,9.528768808E-2,7.107304782E-2,1.192726161E-1
2.978516542E0,-3.079009987E-2,9.689703584E-2,4.993287474E-2,1.132711693E-1
