"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.643998042E0,6.581498031E-3,-3.439003341E-3,-3.199187100E-2,3.284239136E-2
1.653962042E0,1.228485391E-2,-2.439805549E-3,-3.004357874E-2,3.254976053E-2
1.663926042E0,3.305778187E-3,8.965773303E-3,-3.842614710E-2,3.959649027E-2
1.673889042E0,7.490292387E-3,7.680107625E-3,-3.049206018E-2,3.232420560E-2
1.683853042E0,9.008704657E-3,5.243947450E-3,-4.156844079E-2,4.285546657E-2
1.693816042E0,1.966166463E-2,1.096270708E-2,-3.722688317E-2,4.350405537E-2
1.703780042E0,1.408002220E-2,1.790780143E-2,-3.827353477E-2,4.453986800E-2
1.713744042E0,1.548258194E-2,1.075433607E-2,-3.153812706E-2,3.674261214E-2
1.723707042E0,1.409686949E-2,3.935367996E-3,-2.674691856E-2,3.048944905E-2
1.733671042E0,2.013950092E-2,-1.915547848E-3,-2.884314537E-2,3.523060964E-2
1.743635042E0,1.424951836E-2,3.163508121E-3,-3.033827841E-2,3.366701196E-2
1.753598042E0,1.786021058E-2,1.454768068E-2,-2.779240072E-2,3.609764082E-2
1.763562042E0,2.088186890E-2,1.291528425E-2,-3.557504475E-2,4.322546501E-2
1.773525042E0,1.167923768E-2,2.498643156E-3,-4.096325397E-2,4.266891124E-2
1.783489042E0,1.586821038E-2,7.960435934E-3,-2.629434407E-2,3.172634821E-2
1.793453042E0,8.892747061E-3,5.471614273E-3,-3.183399618E-2,3.350257939E-2
1.803416042E0,1.050476960E-2,4.960658988E-3,-3.707485557E-2,3.885232602E-2
1.813380042E0,1.209869318E-2,6.571923215E-3,-4.126730919E-2,4.350355571E-2
1.823344042E0,1.193959866E-2,3.185709268E-3,-3.453190148E-2,3.667635450E-2
1.833307042E0,8.934417609E-3,8.928890163E-3,-2.929279625E-2,3.190010674E-2
1.843271042E0,1.095968754E-2,4.228222137E-3,-3.557855308E-2,3.746766677E-2
1.853234042E0,1.315623065E-2,9.992252011E-4,-3.482952476E-2,3.724487415E-2
1.863198042E0,1.149884651E-2,1.131660981E-2,-3.003948569E-2,3.409779801E-2
1.873162042E0,1.640738762E-2,9.586656243E-3,-3.003890097E-2,3.554492816E-2
1.883125042E0,1.647858661E-2,1.608459391E-3,-2.899166465E-2,3.338633818E-2
1.893089042E0,1.631598833E-2,5.187339094E-3,-2.928987265E-2,3.392663558E-2
1.903053042E0,1.389866258E-2,5.995488251E-3,-3.901905477E-2,4.185218437E-2
1.913016042E0,1.605338439E-2,1.208357264E-2,-2.854025960E-2,3.490372897E-2
1.922980042E0,1.609911145E-2,1.369823556E-2,-2.434839070E-2,3.224387037E-2
1.932943042E0,1.442362835E-2,8.049569428E-3,-2.794150472E-2,3.245865537E-2
1.942907042E0,9.694866277E-3,1.318552611E-2,-3.647376180E-2,3.997729144E-2
1.952871042E0,1.331937253E-2,1.030582722E-2,-2.599672079E-2,3.097491326E-2
1.962834042E0,1.361409048E-2,1.362008387E-2,-2.674691856E-2,3.295827357E-2
1.972798042E0,7.600548947E-3,2.860384807E-3,-4.500835776E-2,4.573513326E-2
1.982762042E0,9.469086095E-3,9.355316637E-3,-3.662637413E-2,3.897020429E-2
1.992725042E0,1.154802251E-2,1.280455261E-2,-4.650641441E-2,4.959999973E-2
2.002689042E0,1.304566346E-2,9.164158367E-3,-3.932194054E-2,4.243095735E-2
2.012653042E0,1.432102798E-2,7.755509298E-3,-3.528151453E-2,3.885904057E-2
2.022616042E0,1.433671954E-2,8.658977207E-3,-3.378462732E-2,3.770836056E-2
2.032580042E0,1.217868126E-2,7.567201545E-3,-2.929279625E-2,3.261365862E-2
2.042543042E0,1.634472191E-2,7.151729465E-3,-4.066972375E-2,4.441085001E-2
2.052507042E0,1.923146944E-2,4.700613208E-3,-4.441135705E-2,4.862421018E-2
2.062471042E0,1.200974698E-2,1.007852585E-2,-3.752567589E-2,4.066923969E-2
2.072434042E0,2.254986939E-2,1.215852664E-2,-3.153754234E-2,4.063179736E-2
2.082398042E0,1.578772437E-2,4.874385148E-3,-4.455929160E-2,4.752412376E-2
2.092362042E0,1.441403526E-2,7.107226672E-3,-2.854259849E-2,3.275602253E-2
2.102325042E0,1.201624287E-2,1.085027609E-2,-2.809236288E-2,3.242374803E-2
2.112289042E0,4.633735679E-3,1.726966007E-2,-3.123524129E-2,3.599101226E-2
2.122252042E0,1.228783233E-2,2.281656638E-3,-3.617321491E-2,3.827137648E-2
2.132216042E0,8.402727549E-3,9.529591072E-3,-4.141173542E-2,4.331686469E-2
2.142180042E0,1.182385577E-2,9.603202036E-3,-4.021364093E-2,4.300188335E-2
2.152143042E0,1.780742118E-2,4.395936728E-3,-3.182931840E-2,3.673600440E-2
2.162107042E0,1.071344211E-2,8.435485661E-3,-3.048153520E-2,3.339250287E-2
